net_rank,team,conference,Prev NET,Avg Opp NET Rank,Div W-L,Conf Record,Non-Conf Record,Road W-L,NET SOS,Non-Conf SOS,run_date
1,South Carolina,SEC,1,42,22-1,8-0,14-1,5-0,5,34,2026-01-29
2,UConn,Big East,2,76,19-2,9-0,10-2,3-1,21,99,2026-01-29
3,USC,Big Ten,3,51,20-1,9-0,11-1,4-0,11,62,2026-01-29
4,UCLA,Big Ten,4,64,18-2,8-1,10-1,3-1,18,81,2026-01-29
5,LSU,SEC,6,59,20-1,7-0,13-1,4-0,14,75,2026-01-29
6,Texas,SEC,5,72,18-2,6-1,12-1,3-1,27,103,2026-01-29
7,Maryland,Big Ten,9,68,18-3,8-2,10-1,2-2,23,88,2026-01-29
8,Notre Dame,ACC,7,81,17-3,8-2,9-1,2-2,31,112,2026-01-29
9,Duke,ACC,11,77,17-4,7-3,10-1,2-3,28,98,2026-01-29
10,Ohio State,Big Ten,8,85,17-3,8-2,9-1,2-2,35,121,2026-01-29
11,Tennessee,SEC,10,83,18-2,6-1,12-1,3-1,32,115,2026-01-29
12,Oklahoma,SEC,12,91,17-3,5-2,12-1,2-2,41,138,2026-01-29
13,TCU,Big 12,13,94,18-2,7-1,11-1,3-1,43,145,2026-01-29
14,UNC,ACC,15,88,19-3,7-3,12-0,3-2,37,126,2026-01-29
15,Georgia,SEC,14,96,18-3,6-2,12-1,2-2,45,151,2026-01-29
