standardized_team_name,possible_team_name
Michigan State,Michigan St.
Ohio State,Ohio St.
USC,Southern California
Oklahoma State,Oklahoma St.
Iowa State,Iowa St.
Mississippi State,Mississippi St.
North Dakota State,North Dakota St.
Miami (FL),Miami
Arizona State,Arizona St.
UNC,North Carolina
UConn,Connecticut
LSU,Louisiana University
Ole Miss,University of Mississippi
UCLA,
South Carolina,
Texas,
Vanderbilt,
Louisville,
Iowa,
Michigan,
Oklahoma,
TCU,
Baylor,
Tennessee,
Maryland,
Kentucky,
Princeton,
Duke,
Texas Tech,
West Virginia,
Georgia,
Alabama,
Washington,
Nebraska,
Notre Dame,
Illinois,
NC State,
Richmond,
